iter	Passed	Remaining
0	10	10128
1	19	9821
2	29	9801
3	39	9731
4	48	9682
5	57	9576
6	67	9528
7	76	9539
8	86	9540
9	97	9685
10	108	9742
11	119	9838
12	131	9977
13	142	10040
14	154	10137
15	165	10191
16	175	10146
17	188	10265
18	199	10303
19	210	10306
20	220	10302
21	231	10308
22	242	10300
23	252	10283
24	263	10265
25	274	10278
26	286	10310
27	297	10311
28	307	10300
29	318	10290
30	328	10268
31	339	10257
32	349	10249
33	360	10237
34	371	10232
35	381	10220
36	392	10214
37	402	10198
38	413	10187
39	424	10178
40	434	10159
41	445	10152
42	455	10148
43	466	10129
44	476	10113
45	487	10102
46	497	10084
47	507	10071
48	518	10061
49	528	10047
50	539	10032
51	549	10019
52	560	10011
53	574	10061
54	590	10154
55	607	10233
56	620	10267
57	634	10310
58	646	10317
59	659	10334
60	674	10375
61	686	10390
62	701	10426
63	716	10480
64	730	10509
65	743	10527
66	755	10524
67	768	10533
68	780	10533
69	793	10539
70	804	10528
71	815	10514
72	827	10503
73	838	10492
74	849	10480
75	861	10468
76	874	10487
77	887	10487
78	900	10501
79	910	10466
80	924	10488
81	937	10496
82	948	10479
83	960	10477
84	970	10444
85	982	10441
86	994	10439
87	1005	10419
88	1016	10409
89	1029	10405
90	1040	10397
91	1051	10373
92	1064	10380
93	1073	10343
94	1084	10334
95	1094	10305
96	1104	10280
97	1114	10258
98	1123	10224
99	1133	10198
100	1142	10167
101	1151	10138
102	1165	10145
103	1176	10131
104	1188	10127
105	1196	10092
106	1206	10071
107	1216	10044
108	1224	10012
109	1235	9994
110	1243	9962
111	1254	9942
112	1265	9934
113	1274	9904
114	1283	9880
115	1293	9857
116	1302	9826
117	1310	9793
118	1318	9761
119	1326	9730
120	1335	9698
121	1343	9665
122	1351	9635
123	1359	9605
124	1367	9574
125	1376	9550
126	1385	9521
127	1393	9490
128	1402	9467
129	1410	9440
130	1418	9412
131	1427	9385
132	1434	9354
133	1443	9328
134	1451	9303
135	1460	9275
136	1468	9249
137	1477	9229
138	1485	9202
139	1494	9181
140	1504	9164
141	1512	9139
142	1520	9113
143	1529	9091
144	1538	9071
145	1546	9046
146	1554	9020
147	1562	8993
148	1571	8976
149	1581	8959
150	1592	8956
151	1604	8951
152	1617	8953
153	1632	8966
154	1644	8963
155	1655	8958
156	1667	8952
157	1681	8959
158	1693	8956
159	1705	8955
160	1717	8952
161	1730	8951
162	1741	8942
163	1753	8937
164	1764	8931
165	1775	8918
166	1784	8900
167	1793	8880
168	1802	8861
169	1812	8848
170	1820	8825
171	1828	8803
172	1837	8783
173	1848	8773
174	1856	8752
175	1864	8730
176	1873	8711
177	1881	8689
178	1890	8670
179	1898	8648
180	1912	8653
181	1921	8636
182	1929	8613
183	1937	8593
184	1946	8574
185	1954	8552
186	1962	8532
187	1970	8510
188	1979	8493
189	1987	8472
190	1996	8455
191	2004	8436
192	2012	8417
193	2021	8398
194	2030	8380
195	2038	8362
196	2047	8344
197	2055	8326
198	2063	8306
199	2072	8288
200	2080	8269
201	2088	8250
202	2096	8231
203	2104	8212
204	2113	8194
205	2123	8185
206	2132	8168
207	2140	8149
208	2148	8131
209	2156	8112
210	2164	8094
211	2172	8075
212	2180	8056
213	2188	8039
214	2196	8020
215	2205	8004
216	2213	7987
217	2221	7970
218	2229	7952
219	2237	7934
220	2245	7916
221	2254	7899
222	2261	7881
223	2270	7864
224	2277	7845
225	2286	7829
226	2294	7812
227	2302	7795
228	2310	7780
229	2319	7763
230	2327	7747
231	2335	7731
232	2343	7714
233	2351	7697
234	2359	7680
235	2367	7665
236	2375	7648
237	2383	7632
238	2391	7615
239	2399	7599
240	2407	7583
241	2416	7569
242	2424	7553
243	2432	7537
244	2440	7521
245	2448	7505
246	2456	7490
247	2464	7474
248	2472	7458
249	2482	7447
250	2490	7431
251	2498	7416
252	2506	7399
253	2514	7384
